model,scope,cohort,metric,estimate,lower,upper,finite_replicates,replicates
artifactnet,cohorts,contemporary_native,AUROC,,,,0,2000
artifactnet,cohorts,contemporary_native,F1,,,,0,2000
artifactnet,cohorts,contemporary_native,FN,190.0,179.0,202.0,2000,2000
artifactnet,cohorts,contemporary_native,FP,0.0,0.0,0.0,2000,2000
artifactnet,cohorts,contemporary_native,FPR,,,,0,2000
artifactnet,cohorts,contemporary_native,TN,0.0,0.0,0.0,2000,2000
artifactnet,cohorts,contemporary_native,TP,210.0,198.0,223.0,2000,2000
artifactnet,cohorts,contemporary_native,TPR,0.525,0.5011861313868614,0.5503690265318172,2000,2000
artifactnet,cohorts,contemporary_native,all_attempt_correctness,0.525,0.5011861313868614,0.5503690265318172,2000,2000
artifactnet,cohorts,contemporary_native,attempted,400.0,387.0,414.0,2000,2000
artifactnet,cohorts,contemporary_native,balanced_accuracy,,,,0,2000
artifactnet,cohorts,contemporary_native,coverage,1.0,1.0,1.0,2000,2000
artifactnet,cohorts,contemporary_native,macro_FPR,,,,0,2000
artifactnet,cohorts,contemporary_native,macro_TPR,0.525,0.5097087378640777,0.5445599970444805,2000,2000
artifactnet,cohorts,contemporary_native,precision,1.0,1.0,1.0,2000,2000
artifactnet,cohorts,contemporary_native,scored,400.0,387.0,414.0,2000,2000
artifactnet,cohorts,contemporary_native,specificity,,,,0,2000
artifactnet,cohorts,legacy,AUROC,0.9991600530301654,0.9982439186710933,0.9998106164184629,2000,2000
artifactnet,cohorts,legacy,F1,0.9887218045112782,0.984534138061109,0.9925095034649801,2000,2000
artifactnet,cohorts,legacy,FN,28.0,18.0,39.0,2000,2000
artifactnet,cohorts,legacy,FP,2.0,0.0,5.0,2000,2000
artifactnet,cohorts,legacy,FPR,0.0024390243902439024,0.0,0.006105006105006105,2000,2000
artifactnet,cohorts,legacy,TN,818.0,814.0,822.0,2000,2000
artifactnet,cohorts,legacy,TP,1315.0,1304.0,1325.0,2000,2000
artifactnet,cohorts,legacy,TPR,0.9791511541325391,0.971003717472119,0.9865971705137752,2000,2000
artifactnet,cohorts,legacy,all_attempt_correctness,0.9856746765249538,0.9805914972273567,0.9903002309468822,2000,2000
artifactnet,cohorts,legacy,attempted,2164.0,2161.0,2168.0,2000,2000
artifactnet,cohorts,legacy,balanced_accuracy,0.9883560648711476,0.9840468381194217,0.9924437133248107,2000,2000
artifactnet,cohorts,legacy,coverage,0.9995378927911276,0.9986130374479889,1.0,2000,2000
artifactnet,cohorts,legacy,macro_FPR,0.0022222222222222222,0.0,0.005555555555555556,2000,2000
artifactnet,cohorts,legacy,macro_TPR,0.9735371572871574,0.9623583152958152,0.9841864177489177,2000,2000
artifactnet,cohorts,legacy,precision,0.9984813971146546,0.9962034927866363,1.0,2000,2000
artifactnet,cohorts,legacy,scored,2163.0,2160.0,2167.0,2000,2000
artifactnet,cohorts,legacy,specificity,0.9975609756097561,0.9938949938949939,1.0,2000,2000
artifactnet,cohorts,non_demo,AUROC,0.9847235632425171,0.9817800053949484,0.9874942644805234,2000,2000
artifactnet,cohorts,non_demo,F1,0.9327217125382263,0.9274738783036263,0.9376710246275464,2000,2000
artifactnet,cohorts,non_demo,FN,218.0,202.0,234.0,2000,2000
artifactnet,cohorts,non_demo,FP,2.0,0.0,5.0,2000,2000
artifactnet,cohorts,non_demo,FPR,0.0024390243902439024,0.0,0.006105006105006105,2000,2000
artifactnet,cohorts,non_demo,TN,818.0,814.0,822.0,2000,2000
artifactnet,cohorts,non_demo,TP,1525.0,1509.0,1541.0,2000,2000
artifactnet,cohorts,non_demo,TPR,0.8749282845668388,0.8659017038243645,0.8836412297149195,2000,2000
artifactnet,cohorts,non_demo,all_attempt_correctness,0.9138065522620905,0.9073928136446782,0.9198592650508209,2000,2000
artifactnet,cohorts,non_demo,attempted,2564.0,2549.0,2579.0,2000,2000
artifactnet,cohorts,non_demo,balanced_accuracy,0.9362446300882974,0.931482013738109,0.9407561034081755,2000,2000
artifactnet,cohorts,non_demo,coverage,0.999609984399376,0.9988272087568413,1.0,2000,2000
artifactnet,cohorts,non_demo,macro_FPR,0.0022222222222222222,0.0,0.005555555555555556,2000,2000
artifactnet,cohorts,non_demo,macro_TPR,0.936159060846561,0.9252253272836912,0.9460188391244031,2000,2000
artifactnet,cohorts,non_demo,precision,0.9986902423051736,0.9967234600262124,1.0,2000,2000
artifactnet,cohorts,non_demo,scored,2563.0,2548.0,2578.0,2000,2000
artifactnet,cohorts,non_demo,specificity,0.9975609756097561,0.9938949938949939,1.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,AUROC,0.9847265459424712,0.9816702153166023,0.9875200306233948,2000,2000
artifactnet,cohorts,non_demo_recording_representative,F1,0.9326805385556916,0.9274463061086307,0.9376340482046756,2000,2000
artifactnet,cohorts,non_demo_recording_representative,FN,218.0,202.0,234.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,FP,2.0,0.0,5.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,FPR,0.0024449877750611247,0.0,0.006112469437652812,2000,2000
artifactnet,cohorts,non_demo_recording_representative,TN,816.0,813.0,818.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,TP,1524.0,1507.0,1540.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,TPR,0.8748564867967853,0.8658328595793064,0.8835471492393719,2000,2000
artifactnet,cohorts,non_demo_recording_representative,all_attempt_correctness,0.9137055837563451,0.9073123511634269,0.9197341742476264,2000,2000
artifactnet,cohorts,non_demo_recording_representative,attempted,2561.0,2547.0,2576.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,balanced_accuracy,0.9362057495108621,0.9314031728652801,0.9407193987468108,2000,2000
artifactnet,cohorts,non_demo_recording_representative,coverage,0.9996095275283092,0.9988262795953805,1.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,macro_FPR,0.0022222222222222222,0.0,0.005555555555555556,2000,2000
artifactnet,cohorts,non_demo_recording_representative,macro_TPR,0.936159060846561,0.9252253272836912,0.9460188391244031,2000,2000
artifactnet,cohorts,non_demo_recording_representative,precision,0.9986893840104849,0.9967212576911493,1.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,scored,2560.0,2545.0,2575.0,2000,2000
artifactnet,cohorts,non_demo_recording_representative,specificity,0.9975550122249389,0.9938875305623471,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,AUROC,,,,0,2000
artifactnet,sources,aime_musicgen_large,F1,,,,0,2000
artifactnet,sources,aime_musicgen_large,FN,1.0,0.0,3.0,2000,2000
artifactnet,sources,aime_musicgen_large,FP,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_large,FPR,,,,0,2000
artifactnet,sources,aime_musicgen_large,TN,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_large,TP,29.0,27.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_large,TPR,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,all_attempt_correctness,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,attempted,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_large,balanced_accuracy,,,,0,2000
artifactnet,sources,aime_musicgen_large,coverage,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,macro_FPR,,,,0,2000
artifactnet,sources,aime_musicgen_large,macro_TPR,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,precision,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_large,scored,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_large,specificity,,,,0,2000
artifactnet,sources,aime_musicgen_medium,AUROC,,,,0,2000
artifactnet,sources,aime_musicgen_medium,F1,,,,0,2000
artifactnet,sources,aime_musicgen_medium,FN,2.0,0.0,5.0,2000,2000
artifactnet,sources,aime_musicgen_medium,FP,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_medium,FPR,,,,0,2000
artifactnet,sources,aime_musicgen_medium,TN,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_medium,TP,28.0,25.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_medium,TPR,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_medium,all_attempt_correctness,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_medium,attempted,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_medium,balanced_accuracy,,,,0,2000
artifactnet,sources,aime_musicgen_medium,coverage,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_medium,macro_FPR,,,,0,2000
artifactnet,sources,aime_musicgen_medium,macro_TPR,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_medium,precision,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_medium,scored,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_medium,specificity,,,,0,2000
artifactnet,sources,aime_musicgen_small,AUROC,,,,0,2000
artifactnet,sources,aime_musicgen_small,F1,,,,0,2000
artifactnet,sources,aime_musicgen_small,FN,2.0,0.0,5.0,2000,2000
artifactnet,sources,aime_musicgen_small,FP,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_small,FPR,,,,0,2000
artifactnet,sources,aime_musicgen_small,TN,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_musicgen_small,TP,28.0,25.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_small,TPR,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_small,all_attempt_correctness,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_small,attempted,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_small,balanced_accuracy,,,,0,2000
artifactnet,sources,aime_musicgen_small,coverage,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_small,macro_FPR,,,,0,2000
artifactnet,sources,aime_musicgen_small,macro_TPR,0.9333333333333333,0.8333333333333334,1.0,2000,2000
artifactnet,sources,aime_musicgen_small,precision,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_musicgen_small,scored,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_musicgen_small,specificity,,,,0,2000
artifactnet,sources,aime_riffusion,AUROC,,,,0,2000
artifactnet,sources,aime_riffusion,F1,,,,0,2000
artifactnet,sources,aime_riffusion,FN,1.0,0.0,3.0,2000,2000
artifactnet,sources,aime_riffusion,FP,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_riffusion,FPR,,,,0,2000
artifactnet,sources,aime_riffusion,TN,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_riffusion,TP,29.0,27.0,30.0,2000,2000
artifactnet,sources,aime_riffusion,TPR,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_riffusion,all_attempt_correctness,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_riffusion,attempted,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_riffusion,balanced_accuracy,,,,0,2000
artifactnet,sources,aime_riffusion,coverage,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_riffusion,macro_FPR,,,,0,2000
artifactnet,sources,aime_riffusion,macro_TPR,0.9666666666666667,0.9,1.0,2000,2000
artifactnet,sources,aime_riffusion,precision,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_riffusion,scored,30.0,30.0,30.0,2000,2000
artifactnet,sources,aime_riffusion,specificity,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,AUROC,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,F1,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,FN,1.0,0.0,3.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,FP,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,FPR,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,TN,0.0,0.0,0.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,TP,49.0,47.0,50.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,TPR,0.98,0.94,1.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,all_attempt_correctness,0.98,0.94,1.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,attempted,50.0,50.0,50.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,balanced_accuracy,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,coverage,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,macro_FPR,,,,0,2000
artifactnet,sources,aime_stable_audio_v1,macro_TPR,0.98,0.94,1.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,precision,1.0,1.0,1.0,2000,2000
artifactnet,sources,aime_stable_audio_v1,scored,50.0,50.0,50.0,2000,2000
